date_day,close,high,last,low,open,max_volume,avg_volume
2020-10-28,276.84,273.54,273.52,270.07,270.27,132047.0,74897.0
2020-10-29,269.72,273.68,273.59,269.41,269.72,168326.0,93245.0
2020-10-30,269.72,273.7,269.63,268.68,269.69,2872501.0,57841.0
2020-10-31,269.63,269.62,266.71,262.03,268.82,3874571.0,3874571.0
2020-11-02,266.71,274.82,274.61,269.65,270.21,125932.0,67367.5
2020-11-03,270.74,279.52,279.325,274.135,274.52,2956798.0,63549.5
2020-11-04,277.37,286.95,286.95,276.905,276.99,3037485.0,74867.0
2020-11-05,282.72,288.955,288.86,287.35,287.45,3525318.0,61698.0
2020-11-06,285.85,288.998,286.6,285.45,288.35,2516570.0,93537.0
2020-11-07,285.85,286.7799,284.24,282.85,286.73,2839134.0,2839134.0
2020-11-09,284.24,289.0,289.0,286.0,286.0,401276.0,221125.0
2020-11-10,284.24,288.42,275.69,272.785,287.98,7856419.0,119745.0
2020-11-11,275.57,281.69,281.595,276.625,277.69,4828522.0,65823.0
2020-11-12,277.75,282.82,282.82,282.79,282.79,2987878.0,92535.0
2020-11-13,277.75,283.6943,279.62,276.39,283.0,3820310.0,79173.5
2020-11-14,276.24,279.73,277.17,275.26,276.42,3941687.0,3941687.0
2020-11-16,277.17,281.22,281.08,278.31,278.88,247208.0,123016.0
2020-11-17,279.57,281.29,279.57,276.4,279.18,5360160.0,352516.0
2020-11-18,279.57,275.31,275.0,271.87,272.1,8532219.0,123251.0
2020-11-19,272.47,275.38,272.295,269.02,270.5,5122219.0,94970.5
2020-11-20,270.93,272.38,272.17,271.42,271.45,3929422.0,61641.0
2020-11-21,270.93,272.37,269.81,268.87,271.45,4112543.0,4112543.0
2020-11-23,269.81,273.67,273.65,270.15,270.15,110897.0,52705.0
2020-11-24,271.4,275.535,275.52,273.52,273.68,3294219.0,78481.0
2020-11-25,273.31,275.545,274.7,273.53,274.0,4742387.0,84824.0
2020-11-26,273.31,274.74,273.96,271.212,273.48,3001748.0,3001748.0
