date,close,high,last,low,open,max_volume,avg_volume
2021-01-21T17:15:00+0000,132.03,136.375,135.465,133.52,134.02,1087066.0,1087066.0
2021-01-21T17:25:00+0000,132.03,136.375,135.65,133.52,134.02,1117190.0,1117190.0
2021-01-21T17:30:00+0000,132.03,136.375,135.855,133.52,134.02,1131353.0,1131353.0
2021-01-21T17:40:00+0000,132.03,136.375,135.96,133.52,134.02,1193633.0,1193633.0
2021-01-21T17:45:00+0000,132.03,136.375,136.105,133.52,134.02,1230851.0,1230851.0
2021-01-21T17:50:00+0000,132.03,136.375,136.17,133.52,134.02,1270332.0,1270332.0
2021-01-21T17:55:00+0000,132.03,136.375,135.93,133.52,134.02,1307543.0,1307543.0
2021-01-21T18:00:00+0000,132.03,136.375,136.165,133.52,134.02,1325449.0,1325449.0
2021-01-21T18:05:00+0000,132.03,136.375,136.175,133.52,134.02,1331405.0,1331405.0
2021-01-21T18:10:00+0000,132.03,136.375,136.275,133.52,134.02,1340250.0,1340250.0
2021-01-21T18:15:00+0000,132.03,136.375,136.25,133.52,134.02,1346351.0,1346351.0
2021-01-21T18:25:00+0000,132.03,136.375,136.185,133.52,134.02,1387341.0,1387341.0
2021-01-21T18:30:00+0000,132.03,136.375,136.235,133.52,134.02,1420124.0,1420124.0
2021-01-21T18:40:00+0000,132.03,136.375,136.235,133.52,134.02,1453203.0,1453203.0
2021-01-21T18:45:00+0000,132.03,136.485,136.395,133.52,134.02,1462985.0,1462985.0
2021-01-21T18:50:00+0000,132.03,136.485,136.09,133.52,134.02,1473284.0,1473284.0
2021-01-21T18:55:00+0000,132.03,136.485,135.96,133.52,134.02,1492836.0,1492836.0
2021-01-21T19:00:00+0000,132.03,136.485,136.12,133.52,134.02,1501551.0,1501551.0
2021-01-21T19:05:00+0000,132.03,136.485,136.23,133.52,134.02,1528358.0,1528358.0
2021-01-21T19:10:00+0000,132.03,136.485,136.3,133.52,134.02,1538759.0,1538759.0
2021-01-21T19:20:00+0000,132.03,136.485,136.42,133.52,134.02,1554325.0,1554325.0
2021-01-21T19:25:00+0000,132.03,136.62,136.62,133.52,134.02,1582667.0,1582667.0
2021-01-21T19:30:00+0000,132.03,136.65,136.565,133.52,134.02,1592522.0,1592522.0
2021-01-21T19:35:00+0000,132.03,136.68,136.675,133.52,134.02,1606084.0,1606084.0
2021-01-21T19:45:00+0000,132.03,136.695,136.44,133.52,134.02,1625350.0,1625350.0
2021-01-21T19:50:00+0000,132.03,136.695,136.515,133.52,134.02,1632999.0,1632999.0
2021-01-21T19:55:00+0000,132.03,136.695,136.43,133.52,134.02,1644174.0,1644174.0
2021-01-21T20:00:00+0000,132.03,136.695,136.57,133.52,134.02,1659942.0,1659942.0
2021-01-21T20:05:00+0000,132.03,136.695,136.635,133.52,134.02,1673531.0,1673531.0
2021-01-21T20:10:00+0000,132.03,136.695,136.695,133.52,134.02,1688168.0,1688168.0
2021-01-21T20:20:00+0000,132.03,136.79,136.775,133.52,134.02,1715873.0,1715873.0
2021-01-21T20:25:00+0000,132.03,136.985,136.935,133.52,134.02,1742311.0,1742311.0
2021-01-21T20:30:00+0000,132.03,136.99,136.86,133.52,134.02,1755815.0,1755815.0
2021-01-21T20:35:00+0000,132.03,136.99,136.95,133.52,134.02,1779896.0,1779896.0
2021-01-21T20:40:00+0000,132.03,137.1,136.98,133.52,134.02,1806654.0,1806654.0
2021-01-21T20:45:00+0000,132.03,137.13,137.115,133.52,134.02,1827142.0,1827142.0
2021-01-21T20:50:00+0000,132.03,137.335,137.11,133.52,134.02,1870211.0,1870211.0
2021-01-21T20:55:00+0000,132.03,137.335,136.95,133.52,134.02,1920265.0,1920265.0
2021-01-22T02:00:00+0000,132.03,139.67,136.87,133.59,133.8,120529544.0,120529544.0
2021-01-22T13:05:00+0000,136.87,135.9,135.84,135.84,135.9,301.0,301.0
2021-01-22T13:10:00+0000,136.87,135.9,135.74,135.74,135.9,428.0,428.0
2021-01-22T13:40:00+0000,136.87,135.9,135.7,135.46,135.9,1105.0,1105.0
2021-01-22T14:00:00+0000,136.87,135.98,135.95,135.46,135.9,1797.0,1797.0
2021-01-22T14:10:00+0000,136.87,136.13,136.04,135.46,135.9,2298.0,2298.0
2021-01-22T14:15:00+0000,136.87,136.13,136.0,135.46,135.9,2504.0,2504.0
2021-01-22T14:25:00+0000,136.87,136.13,136.08,135.46,135.9,2704.0,2704.0
2021-01-22T14:30:00+0000,136.87,136.33,136.31,135.46,135.9,3476.0,3476.0
2021-01-22T14:35:00+0000,136.87,136.4,135.76,135.02,135.9,91941.0,91941.0
2021-01-22T14:40:00+0000,136.87,136.4,136.09,135.02,135.9,141054.0,141054.0
2021-01-22T14:45:00+0000,136.87,137.17,137.15,135.02,135.9,201930.0,201930.0
2021-01-22T14:50:00+0000,136.87,137.57,137.14,135.02,135.9,259384.0,259384.0
2021-01-22T14:55:00+0000,136.87,137.57,136.79,135.02,135.9,296072.0,296072.0
2021-01-22T15:00:00+0000,136.87,137.57,137.405,135.02,135.9,321741.0,321741.0
2021-01-22T15:10:00+0000,136.87,137.65,137.455,135.02,135.9,409848.0,409848.0
2021-01-22T15:15:00+0000,136.87,137.65,137.225,135.02,135.9,436101.0,436101.0
2021-01-22T15:20:00+0000,136.87,137.65,137.16,135.02,135.9,453629.0,453629.0
2021-01-22T15:25:00+0000,136.87,137.65,136.85,135.02,135.9,471378.0,471378.0
2021-01-22T15:30:00+0000,136.87,137.65,136.61,135.02,135.9,492775.0,492775.0
2021-01-22T15:40:00+0000,136.87,137.65,136.15,135.02,135.9,533850.0,533850.0
2021-01-22T15:45:00+0000,136.87,137.65,136.295,135.02,135.9,553093.0,553093.0
2021-01-22T15:55:00+0000,136.87,137.65,136.45,135.02,135.9,577614.0,577614.0
2021-01-22T16:00:00+0000,136.87,137.65,136.86,135.02,135.9,603890.0,603890.0
2021-01-22T16:05:00+0000,136.87,137.65,137.09,135.02,135.9,621869.0,621869.0
2021-01-22T16:10:00+0000,136.87,137.65,137.16,135.02,135.9,640502.0,640502.0
2021-01-22T16:15:00+0000,136.87,137.65,137.13,135.02,135.9,661405.0,661405.0
2021-01-22T16:20:00+0000,136.87,137.65,137.415,135.02,135.9,685868.0,685868.0
2021-01-22T16:25:00+0000,136.87,137.65,137.4,135.02,135.9,718818.0,718818.0
2021-01-22T16:30:00+0000,136.87,137.65,137.255,135.02,135.9,771453.0,771453.0
2021-01-22T16:35:00+0000,136.87,137.65,137.18,135.02,135.9,820739.0,820739.0
2021-01-22T16:40:00+0000,136.87,137.65,137.07,135.02,135.9,835864.0,835864.0
2021-01-22T16:45:00+0000,136.87,137.65,137.095,135.02,135.9,864476.0,864476.0
2021-01-22T16:55:00+0000,136.87,137.65,137.37,135.02,135.9,911831.0,911831.0
2021-01-22T17:00:00+0000,136.87,137.65,137.355,135.02,135.9,929380.0,929380.0
2021-01-22T17:10:00+0000,136.87,137.65,137.345,135.02,135.9,962026.0,962026.0
2021-01-22T17:20:00+0000,136.87,137.91,137.875,135.02,135.9,992963.0,992963.0
2021-01-22T17:25:00+0000,136.87,137.985,137.89,135.02,135.9,1003402.0,1003402.0
2021-01-22T17:30:00+0000,136.87,138.17,138.03,135.02,135.9,1029691.0,1029691.0
2021-01-22T17:35:00+0000,136.87,138.17,137.89,135.02,135.9,1046541.0,1046541.0
2021-01-22T17:40:00+0000,136.87,138.17,137.87,135.02,135.9,1062303.0,1062303.0
2021-01-22T17:45:00+0000,136.87,138.17,137.905,135.02,135.9,1069595.0,1069595.0
2021-01-22T17:55:00+0000,136.87,138.17,137.9,135.02,135.9,1092385.0,1092385.0
2021-01-22T18:00:00+0000,136.87,138.17,137.855,135.02,135.9,1103131.0,1103131.0
2021-01-22T18:05:00+0000,136.87,138.17,138.025,135.02,135.9,1112656.0,1112656.0
2021-01-22T18:25:00+0000,136.87,138.17,138.115,135.02,135.9,1147323.0,1147323.0
2021-01-22T18:30:00+0000,136.87,138.17,138.005,135.02,135.9,1152957.0,1152957.0
2021-01-22T18:35:00+0000,136.87,138.17,137.99,135.02,135.9,1165070.0,1165070.0
2021-01-22T18:40:00+0000,136.87,138.25,138.195,135.02,135.9,1175137.0,1175137.0
2021-01-22T18:45:00+0000,136.87,138.29,138.21,135.02,135.9,1182105.0,1182105.0
2021-01-22T18:50:00+0000,136.87,138.315,138.2,135.02,135.9,1194317.0,1194317.0
2021-01-22T19:05:00+0000,136.87,138.315,137.96,135.02,135.9,1218500.0,1218500.0
2021-01-22T19:10:00+0000,136.87,138.315,138.3,135.02,135.9,1237186.0,1237186.0
2021-01-22T19:15:00+0000,136.87,138.35,138.205,135.02,135.9,1247506.0,1247506.0
2021-01-22T19:20:00+0000,136.87,138.35,138.285,135.02,135.9,1257424.0,1257424.0
2021-01-22T19:25:00+0000,136.87,138.475,138.45,135.02,135.9,1264571.0,1264571.0
2021-01-22T19:30:00+0000,136.87,138.48,138.47,135.02,135.9,1273953.0,1273953.0
2021-01-22T19:35:00+0000,136.87,138.575,138.525,135.02,135.9,1291308.0,1291308.0
2021-01-22T19:40:00+0000,136.87,138.575,138.43,135.02,135.9,1299924.0,1299924.0
